Name,Type,Description,Location
El Camino Real de Tierra Adentro,National Historic Trail," Take a journey on El Camino Real de Tierra Adentro National Historic Trail to savor 300 years of heritage and culture in the Southwest. This Spanish colonial ""royal road"" in New Mexico and Texas originally extended to Mexico City, Mexico. ","NM,TX"
Fort Davis,National Historic Site," Fort Davis is one of the best surviving examples of an Indian Wars' frontier military post in the Southwest. From 1854 to 1891, Fort Davis was strategically located to protect emigrants, mail coaches, and freight wagons on the Trans-Pecos portion of the San Antonio-El Paso Road and on the Chihuahua Trail. ","Fort Davis, TX"
Guadalupe Mountains,National Park," Guadalupe Mountains National Park protects the world's most extensive Permian fossil reef, the four highest peaks in Texas, an environmentally diverse collection of flora and fauna, and the stories of lives shaped through conflict, cooperation and survival. Come experience mountains and canyons, desert and dunes, night skies and spectacular vistas within a place unlike any other within the NPS. ","Salt Flat, TX"
Lake Meredith,National Recreation Area," Within the dry and windswept high plains of the Texas Panhandle lies a hidden oasis, a welcoming haven where wildlife and humans find respite from the dry grasslands above. Through this plain, the Canadian River has cut dramatic 200-foot canyons, or breaks, where humans have eked out a living for over 13,000 years. Lake Meredith now occupies these hidden coves where early humans once roamed. ","Fritch, TX"
Lyndon B Johnson,National Historical Park," ---Lyndon Baines Johnson Lyndon B. Johnson National Historical Park tells the story of our 36th President beginning with his ancestors until his final resting place on his beloved LBJ Ranch. This entire ""circle of life"" gives the visitor a unique perspective into one of America's most noteworthy citizens by providing the most complete picture of any American president. ","Johnson City, TX"
Padre Island,National Seashore," Padre Island National Seashore separates the Gulf of Mexico from the Laguna Madre, one of a few hypersaline lagoons in the world.  The park protects 70 miles of coastline, dunes, prairies, and wind tidal flats teeming with life.  It is a safe nesting ground for the Kemp’s ridley sea turtle and a haven for over 380 bird species.  It also has a rich history, including the Spanish shipwrecks of 1554. ","Corpus Christi, TX"
Palo Alto Battlefield,National Historical Park," On May 8, 1846, United States and Mexican troops clashed on the prairie of Palo Alto. The battle was the first in a two-year long war that changed the map of North America. Palo Alto Battlefield National Historical Park preserves the site of this notable battle and provides an understanding of the causes, events, and consequences of the U.S.-Mexican War. ","Brownsville, TX"
Rio Grande,Wild & Scenic River," It is an irresistible playground where unruly rapids check your skills as a canyon wren’s definitive call cascades down ancient limestone cliffs. Below the chasm, the canyon’s raw beauty dances across mirrored water. While the primal nature of the river stirs hunger for spirited adventure, the river is also an undulant ribbon of wetland corridor and, against all odds, the lifeblood of the desert. ","Southwest Texas, TX"
San Antonio Missions,National Historical Park," After 10,000 years, the people of South Texas found their cultures, their very lives under attack. In the early 1700s Apache raided from the north, deadly diseases traveled from Mexico, and drought lingered. Survival lay in the missions. By entering a mission, they foreswore their traditional life to become Spanish, accepting a new religion and pledging fealty to a distant and unseen king. ","San Antonio, TX"
Waco Mammoth,National Monument," Standing as tall as 14 feet and weighing 20,000 pounds, Columbian mammoths roamed across what is present-day Texas thousands of years ago. Today, the fossil specimens represent the nation's first and only recorded evidence of a nursery herd of ice age Columbian mammoths. ","Waco, TX"
Arches,National Park," Visit Arches to discover a landscape of contrasting colors, land forms and textures unlike any other in the world. The park has over 2,000 natural stone arches, in addition to hundreds of soaring pinnacles, massive fins and giant balanced rocks. This red-rock wonderland will amaze you with its formations, refresh you with its trails, and inspire you with its sunsets. ","Moab, UT"
Bryce Canyon,National Park," Hoodoos (irregular columns of rock) exist on every continent, but here is the largest concentration found anywhere on Earth. Situated along a high plateau at the top of the Grand Staircase, the park's high elevations include numerous life communities, fantastic dark skies, and geological wonders that defy description. ","Bryce Canyon, UT"
California,National Historic Trail," Follow in the footsteps of over 250,000 emigrants who traveled to the gold fields and rich farmlands of California during the 1840s and 1850s: the greatest mass migration in American history. The California National Historic Trail is over 5,000 miles long and covers portions of 10 states. Step into history along more than 1,000 miles of ruts and traces from travelers and their overland wagons. ","Various States CA,CO,ID,KS,MO,NE,NV,OR,UT,WY"
Canyonlands,National Park," Canyonlands invites you to explore a wilderness of countless canyons and fantastically formed buttes carved by the Colorado River and its tributaries. Rivers divide the park into four districts: Island in the Sky, The Needles, The Maze, and the rivers themselves. These areas share a primitive desert atmosphere, but each offers different opportunities for sightseeing and adventure. ","Moab, UT"
Capitol Reef,National Park," Located in south-central Utah in the heart of red rock country, Capitol Reef National Park is a hidden treasure filled with cliffs, canyons, domes, and bridges in the Waterpocket Fold, a geologic monocline (a wrinkle on the earth) extending almost 100 miles. ","Torrey, UT"
Cedar Breaks,National Monument," Discover one of America's most special parks! Crowning the grand staircase, Cedar Breaks sits at over 10,000 feet and looks down into a half-mile deep geologic amphitheater. Come wander among timeless bristlecone pines, stand in lush meadows of wildflower, ponder crystal-clear night skies and experience the richness of our subalpine forest. ","Cedar City, UT"
Dinosaur,National Monument," Dinosaurs once roamed here. Their fantastic remains are still visible embedded in the rocks. Today, the mountains, desert and untamed rivers flowing in deep canyons, support an array of life. Petroglyphs hint at earlier cultures. Later, homesteaders and outlaws found refuge here. Whether your passion is science, adventure, history or scenery, Dinosaur offers much to explore. ","Vernal, Utah & Dinosaur, Colorado, CO,UT"
Glen Canyon,National Recreation Area," Encompassing over 1.25 million acres, Glen Canyon National Recreation Area offers unparalleled opportunities for water-based & backcountry recreation. The recreation area stretches for hundreds of miles from Lees Ferry in Arizona to the Orange Cliffs of southern Utah, encompassing scenic vistas, geologic wonders, and a vast panorama of human history. ","Glen Canyon National Recreation Area, AZ,UT"
Golden Spike,National Historical Park," Come celebrate the 150th anniversary of the completion of the nation's first transcontinental railroad on May 10th, 2019. ","Brigham City, UT"
Hovenweep,National Monument," Once home to over 2,500 people, Hovenweep includes six prehistoric villages built between A.D. 1200 and 1300. Explore a variety of structures, including multistory towers perched on canyon rims and balanced on boulders. The construction and attention to detail will leave you marveling at the skill and motivation of the builders. ","Blanding, Utah & Cortez, Colorado, CO,UT"
Mormon Pioneer,National Historic Trail," Explore the Mormon Pioneer National Historic Trail across five states to see the 1,300-mile route traveled by Mormons who fled Nauvoo, Illinois, to the Great Salt Lake Valley in 1846-1847. ","Various States IL,IA,NE,UT,WY"
Natural Bridges,National Monument," Three majestic natural bridges invite you to ponder the power of water in a landscape usually defined by its absence. View them from an overlook, or hit the trails and experience their grandeur from below. Declared a National Monument in 1908, the bridges are named ""Kachina,"" ""Owachomo"" and ""Sipapu"" in honor of the Native Americans who once made this place their home. ","Blanding, UT"
Old Spanish,National Historic Trail," Follow the routes of mule pack trains across the Southwest on the Old Spanish National Historic Trail between Santa Fe, New Mexico, and Los Angeles, California. New Mexican traders moved locally produced merchandise across what are now six states to exchange for mules and horses. ","AZ,CA,CO,NV,NM,UT"
Pony Express,National Historic Trail, It is hard to believe that young men once rode horses to carry mail from Missouri to California in the unprecedented time of only 10 days. This relay system along the Pony Express National Historic Trail in eight states was the most direct and practical means of east-west communications before the telegraph. ,"Various States CA,CO,KS,MO,NE,NV,UT,WY"
Rainbow Bridge,National Monument," Rainbow Bridge is one of the world's largest known natural bridges. The span has undoubtedly inspired people throughout time--from the neighboring American Indian tribes who consider Rainbow Bridge sacred, to the 85,000 people from around the world who visit it each year. Please visit Rainbow Bridge in a spirit that honors and respects the cultures to whom it is sacred. ","Rainbow Bridge National Monument, UT"
Timpanogos Cave,National Monument," Hike your way past stunning vistas to explore a hidden underground world. Taste the thrill of caving as you twist and bend to enter beautifully decorated rooms. Learn the science behind formations and hear stories of cave exploration and preservation.  Experience and discover as you go – geologic mysteries await. The caves, cave trail, and visitor center are currently closed for the season. ","American Fork, UT"
Zion,National Park," Follow the paths where ancient native people and pioneers walked. Gaze up at massive sandstone cliffs of cream, pink, and red that soar into a brilliant blue sky. Experience wilderness in a narrow slot canyon. Zion’s unique array of plants and animals will enchant you as you absorb the rich history of the past and enjoy the excitement of present day adventures. ","Springdale, UT"
Appalachian,National Scenic Trail," The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers. ","Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
Marsh - Billings - Rockefeller,National Historical Park, The forest and fields in their white winter cloak are a place of magic & sublime beauty. Grab your skis or snowshoes & adventure along the park’s groomed ski trails and natural back-country trails.  Ski passes are required for the groom trails and are available from the Woodstock Nordic Center. Check our winter weekend programs to learn about the snowy inhabitants and history of this storied place ,"Woodstock, VT"
Buck Island Reef,National Monument," Welcome to Buck Island! Before you come, please watch our 2014 Telly Award winning film ""Caribbean Gem."" Watching this will catch you up on 50+ years of National Park Service protection and civic engagement. Learn what we do every day to preserve this resource for Virgin Islanders and visitors alike. For the General Management Plan and Environmental Compliance, visit the News page. ","St. Croix, VI"
Christiansted,National Historic Site," No place in the Caribbean still demonstrates the architectural, economic, and political influence of Europe like Christiansted National Historic Site. Come wander through 18th century buildings in one the Caribbean's few urban parks. It is a unique experience that you will never forget. ","St. Croix, VI"
Salt River Bay,National Historical Park and Ecological Preserve, Salt River Bay National Historical Park and Ecological Preserve uniquely documents the human and natural Caribbean world from the earliest indigenous settlements in the central Caribbean to their clash with seven different colonial European powers to the present day. ,"St. Croix, VI"
Virgin Islands,National Park," Virgin Islands National Park is more than just beautiful beaches. Hike to plantation ruins to learn about a time when sugar dominated the island. Visit the ancient petroglyphs carved by the Taino Indians. Come snorkel the coral reefs to discover hidden marine life.  Two-thirds of the island of St. John is national park, making it a unique destination for visitors from around the world. ","St.John, VI"
Virgin Islands Coral Reef,National Monument, Virgin Islands Coral Reef National Monument includes federal submerged lands within the 3-mile belt off the island of St. John. These waters support a diverse and complex system of coral reefs and other ecosystems such as shoreline mangrove forests and seagrass beds. ,"St. John, VI"
Appalachian,National Scenic Trail," The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers. ","Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
Appomattox Court House,National Historical Park," On April 9, 1865, the surrender of the Army of Northern Virginia in the McLean House in the village of Appomattox Court House, Virginia signaled the end of the nation's largest war. Two important questions about its future were answered. Could the nation survive a civil war intact, and would that nation exist without slavery? The answer to both was yes and a new nation was born. ","Appomattox, VA"
"Arlington House, The Robert  E. Lee Memorial",Not Available," Arlington House is the nation’s memorial to Robert E. Lee. It honors him for specific reasons, including his role in promoting peace and reunion after the Civil War. In a larger sense it exists as a place of study and contemplation of the meaning of some of the most difficult aspects of American History: military service; sacrifice; citizenship; duty; loyalty; slavery and freedom. ","Arlington, VA"
Assateague Island,National Seashore," Want to live on the edge? Visit a place recreated each day by ocean wind and waves. Life on Assateague Island has adapted to an existence on the move. Explore sandy beaches, salt marshes, maritime forests and coastal bays. Rest, relax, recreate and enjoy some time on the edge of the continent. ","MD,VA"
Blue Ridge,Parkway," A Blue Ridge Parkway experience is unlike any other: a slow-paced and relaxing drive revealing stunning long-range vistas and close-up views of the rugged mountains and pastoral landscapes of the Appalachian Highlands. The Parkway meanders for 469 miles, protecting a diversity of plants and animals, and providing opportunities for enjoying all that makes this region of the country so special. ","Blue Ridge Mountains of Virginia and North Carolina, NC,VA"
Booker T Washington,National Monument," Booker T. Washington was born a slave in April 1856 on the 207-acre farm of James Burroughs. After the Civil War, Washington became the first principal of Tuskegee Normal and Industrial School. Later as an adviser, author and orator, his past would influence his philosophies as the most influential African American of his era. Come explore his birthplace. ","Hardy, VA"
Cape Henry Memorial,Part of Colonial National Historical Park," English colonists first landed here in April 1607, erected a wooden cross and gave thanks for a successful crossing to a new land. In 1781, Americans could watch from these same sand dunes the largest naval battle of the Revolutionary War. Our French Allies defeated a British fleet just off this shore to set the stage for General George Washington's victory at Yorktown. ","Fort Story, VA"
Captain John Smith Chesapeake,National Historic Trail," Four hundred years ago Englishman John Smith and a small crew of adventurers set out in an open boat to explore the Chesapeake Bay. Between 1607 and 1609 Smith and his crew mapped nearly 3,000 miles of the Bay and rivers and documented American Indian communities. Smith’s map and journals are a remarkable record of the 17th-century Chesapeake. Come join the adventure on the Chesapeake Bay! ","Various States VA,MD,DE,DC,PA,NY"
Cedar Creek & Belle Grove,National Historical Park," The Shenandoah Valley invites you to learn about its rich heritage, from Native Americans who first shaped the land, to pioneers of this frontier; this fertile area became one of the most important wheat producing regions of the entire South. The Valley also witnessed some of the most dramatic events of the Civil War,including the Battle of Cedar Creek, a decisive October 19, 1864 Union victory. ","Middletown and Strasburg, VA"
Chesapeake Bay,Not Available," NPS helps you learn about and enjoy the Chesapeake Bay, the largest estuary in North America. Here, you can visit major league cities, colonial towns, American Indian landscapes, farms and fishing villages. You can learn to kayak, pick crabs, go fishing, tour a lighthouse, slurp oysters, and slow down to enjoy the natural beauty of the Chesapeake. ","Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
Civil War Defenses of Washington,Not Available," On forested hills surrounding the nation's capital are the remnants of a complex system of Civil War fortifications. Built by Union forces, these strategic buttresses transformed the young capital into one of the world's most fortified cities. This month, we will feature Fort Stanton, a massive earthwork which protected the Washington DC along the Anacostia River. ","Washington, DC,MD,VA"
Colonial,National Historical Park," On May 13, 1607, Jamestown was established as the first permanent English settlement in North America. Three cultures came together – European, Virginia Indian and African–to create a new society that would eventually seek independence from Great Britain. On October 19, 1781, American and French troops defeated the British at Yorktown in the last major battle of the American Revolutionary War. ","Jamestown and Yorktown, VA"
Cumberland Gap,National Historical Park," At Cumberland Gap, the first great gateway to the west, follow the buffalo, the Native American, the longhunter, the pioneer... all traveled this route through the mountains into the wilderness of Kentucky. Modern day explorers and travelers stand in awe at this great gateway and the many miles of trails and scenic features found in the park. ","Middlesboro, KY,TN,VA"
Fort Monroe,National Monument," 2019 is a pivotal year for the Fort Monroe National Monument, marking the 400th anniversary of the arrival of the first Africans to English North America. The entire year is dedicated to those “20 and odd” who were brought here on an English privateer ship named the White Lion. Join us for a year highlighting this American story and the significant African and African American experience. ","Fort Monroe, VA"
Fredericksburg & Spotsylvania,National Military Park," Fredericksburg, Chancellorsville, Wilderness, and Spotsylvania--this is America's battleground, where the Civil War roared to its bloody climax. No place more vividly reflects the War's tragic cost in all its forms. A town bombarded and looted. Farms large and small ruined. Refugees by the thousands forced into the countryside. More than 85,000 men wounded; 15,000 killed--most in graves unknown. ","Fredericksburg, VA"
George Washington,Memorial Parkway," The George Washington Memorial Parkway was designed for recreational driving. It links sites that commemorate important episodes in American history and preserve habitat for local wildlife. The parkway and its associated trails provide a scenic place to play and rest in the busy Washington, DC metropolitan area. ","DC, MD, VA"
George Washington Birthplace,National Monument," In the heart of the Northern Neck of Virginia stands a tribute to America’s founding father, George Washington. Although only here a short time, the ideas that Washington learned here, helped shape the man he would become and forever alter the destiny of the United States of America. ","Westmoreland County, VA"
Great Falls,Park," At Great Falls, the Potomac River builds up speed and force as it falls over a series of steep, jagged rocks and flows through the narrow Mather Gorge. The Patowmack Canal offers a glimpse into the early history of this country.  Great Falls Park has many opportunities to explore history and nature, all in a beautiful 800-acre park only 15 miles from the Nation's Capital. ","McLean, VA"
Green Springs,Not Available," Green Springs National Historic Landmark District in Virginia’s Piedmont encompasses over 14,000 acres. Its farmsteads offer a continuum of rural vernacular architecture in original context with minimal alteration. Landscapes and buildings, many predating the Civil War and connected to one another visually and through family relationships of early occupants, are today preserved through easements. ","Louisa County, VA"
Harpers Ferry,National Historical Park," A visit to this quaint, historic community, at the confluence of the Potomac and Shenandoah rivers, is like stepping into the past.  Stroll the picturesque streets, visit exhibits and museums, or hike our trails and battlefields. Spend a day or a weekend.  We have something for everyone, so come and discover Harpers Ferry! ","Harpers Ferry, WV,VA,MD"
Historic Jamestowne,Part of Colonial National Historical Park," Walk in the steps of Captain John Smith and Pocahontas where a successful English colonization of North America began.  Despite early struggles to survive, the 1607 settlement evolved into a prosperous colony.  As the colony expanded, the Virginia Indians were pushed out of their homeland.  In 1619, the arrival of Africans was recorded, marking the origin of slavery in English North America. ","James City County, VA"
Maggie L Walker,National Historic Site," Maggie Lena Walker devoted her life to civil rights advancement, economic empowerment, and educational opportunities for Jim Crow-era African Americans and women. As a bank president, newspaper editor, and fraternal leader, Walker served as an inspiration of pride and progress. Today, Walker’s home is preserved as a tribute to her enduring legacy of vision, courage, and determination. ","Richmond, VA"
Manassas,National Battlefield Park," On July 21, 1861, two armies clashed for the first time on the fields overlooking Bull Run. Heavy fighting swept away any notion of a quick war. In August 1862, Union and Confederate armies converged for a second time on the plains of Manassas. The Confederates won a solid victory bringing them to the height of their power. ","Manassas, VA"
Overmountain Victory,National Historic Trail," Stretching 330 miles through four states (Virginia, Tennessee, North and South Carolina) the Overmountain Victory National Historic Trail traces the route used by patriot militia during the pivotal Kings Mountain campaign of 1780. Follow the campaign by utilizing a Commemorative Motor Route which uses existing state highways marked with the distinctive trail logo, or 87 miles of walkable pathways. ","NC,SC,TN,VA"
Petersburg,National Battlefield," Nine and a half months, 70,000 casualties, the suffering of civilians, thousands of U. S. Colored Troops fighting for the freedom of their race, and the decline of Gen. Robert E. Lee's Army of No. Virginia all describe the Siege of Petersburg. It was here Gen. Ulysses S. Grant cut off all of Petersburg's supply lines ensuring the fall of Richmond on April 3, 1865. Six days later, Lee surrendered. ","Petersburg, VA"
Potomac Heritage,National Scenic Trail," Linking the tidal Potomac and upper Youghiogheny river basins, the evolving Potomac Heritage National Scenic Trail network lies within a corridor rich in historic pathways and waterways. You can travel this historic corridor today—on foot, bicycle and horse and by boat—exploring contrasting landscapes between the Chesapeake Bay and the Allegheny Plateau. ","the corridor between the Chesapeake Bay and the Allegheny Highlands, DC,MD,PA,VA"
Prince William Forest,Park," Prince William Forest Park is an oasis, a respite of quiet and calm. In 1936, Chopawamsic Recreation Area opened its gates to house children's 'relief' camps during the Great Depression. Renamed Prince William Forest Park in 1948, these fragrant woods and trickling streams have welcomed generations of campers, hikers, bikers and nature lovers. Discover Northern Virginia's best kept secret! ","Triangle, VA"
Richmond,National Battlefield Park," The hub of Confederate manufacturing fueled a modern war, one of the South’s largest hospitals gave care to the sick and wounded, violent clashes of massive armies on open fields, and miles of formidable defensive earthworks meant that from 1861 to 1865, Richmond’s fate would determine America’s future. ","Richmond, VA"
Shenandoah,National Park," Just 75 miles from the bustle of Washington, D.C., Shenandoah National Park is your escape to recreation and re-creation. Cascading waterfalls, spectacular vistas, quiet wooded hollows—take a hike, meander along Skyline Drive, or picnic with the family. 200,000 acres of protected lands are haven to deer, songbirds, the night sky…and you. Plan a Shenandoah escape today! ","the Blue Ridge Mountains near Luray, VA"
Star-Spangled Banner,National Historic Trail," For three years the young United States was embroiled in the War of 1812 and the Chesapeake Bay region felt the brunt of it, choked by shipping blockades and ravaged by enemy raids. Through sites and landscapes in Virginia, the District of Columbia, and throughout Maryland, the Trail tells the stories of the events, people, and places that led to the birth of our National Anthem. ","DC, MD, VA"
Washington-Rochambeau,National Historic Trail," In 1781, General Rochambeau’s French Army joined forces with General Washington’s Continental Army to fight the British Army in Yorktown, Virginia. With the French Navy in support, the allied armies moved hundreds of miles to become the largest troop movement of the American Revolution. The effort and cooperation between the two sides led to a victory at Yorktown and secured American independence. ","MA,RI,CT,NY,NJ,PA,DE,MD,VA,DC"
Wolf Trap National Park for the Performing Arts,Not Available," No matter what your age or taste in shows, you'll find something you like onstage at Wolf Trap. From May through September, multiple amphitheaters in the park present performances such as musicals, dance, opera, jazz, and popular and country music. A good time to explore the beauty  and history of the park without the crowds is October - April. ","Vienna, VA"
Yorktown Battlefield,Part of Colonial National Historical Park," Discover what it took for the United States to be independent as you explore the site of the last major battle of the Revolutionary War.  Here at Yorktown, in the fall of 1781, General George Washington, with allied American and French forces, besieged General Charles Lord Cornwallis’s British army.  On October 19, Cornwallis surrendered, effectively ending the war and ensuring independence. ","Yorktown, VA"
Ebey's Landing,National Historical Reserve," This stunning landscape at the gateway to Puget Sound, with its rich farmland and promising seaport, lured the earliest American pioneers north of the Columbia River to Ebey’s Landing. Today Ebey’s Landing National Historical Reserve preserves the historical, agricultural and cultural traditions of both native and Euro-American – while offering spectacular opportunities for recreation. ","Coupeville, WA"
Fort Vancouver,National Historic Site," Located on the north bank of the Columbia River, in sight of snowy mountain peaks and a vibrant urban landscape, this park has a rich cultural past. From a frontier fur trading post, to a powerful military legacy, the magic of flight, and the origin of the American Pacific Northwest, history is shared at four unique sites. Discover stories of transition, settlement, conflict, and community. ","Vancouver, OR,WA"
Ice Age Floods,National Geologic Trail," ""At the end of the last Ice Age, some 12,000 to 17,000 years ago, a series of cataclysmic floods occurred in what is now the northwest region of the United States, leaving a lasting mark of dramatic and distinguishing features on the landscape of parts of the States of Montana, Idaho, Washington and Oregon."" Public Law 111-11, March 30, 2009 ","WA,OR,ID,MT"
Klondike Gold Rush - Seattle Unit,National Historical Park," After surviving a devastating fire and an economic depression, Seattle flourished with the Klondike Gold Rush. As a key port city, merchants supplied would-be Klondike Kings and Queens on their way to Alaska. This cemented Seattle as an anchor of the Pacific Northwest. Today the park is your gateway to learn about the gold rush, explore Seattle area parks, and be involved with the local community. ","Seattle, WA"
Lake Roosevelt,National Recreation Area," In 1941 the Grand Coulee Dam was built on the Columbia River as part of the Columbia River Basin project, creating a 130-mile long lake. Named for President Franklin D. Roosevelt, Lake Roosevelt National Recreation Area provides opportunities for boating, fishing, swimming, camping, canoeing, hunting and visiting historic Fort Spokane and St. Paul's Mission. ","the Canadian border going to Coulee Dam along the Columbia River, WA"
Lewis & Clark,National Historic Trail," Between May 1804 and September 1806, 31 men, one woman, and a baby traveled from the plains of the Midwest to the shores of the Pacific Ocean. They called themselves the Corps of Discovery. In their search for a water route to the Pacific Ocean, they opened a window into the west for the young United States. Read the Lewis and Clark Pups blog, the Newfie News! ","Eleven States: ID,IL,IA,KS,MO,MT,NE,ND,OR,SD,WA"
Lewis and Clark,National Historical Park, Explore the timeless rainforests and majestic coastal vistas. Discover the rich heritage of the native people. Unfold the dramatic stories of America's most famous explorers. The park encompasses sites along the Columbia River and the Pacific Coast. Follow in the footsteps of the explorers and have an adventure in history. ,"Long Beach to Cannon Beach, OR,WA"
Manhattan Project,National Historical Park," This site tells the story about the people, events, science, and engineering that led to the creation of the atomic bomb, which helped end World War II. ","Manhattan Project National Historical Park, NM,WA,TN"
Minidoka,National Historic Site," The Pearl Harbor attack intensified existing hostility towards Japanese Americans. As wartime hysteria mounted, President Roosevelt signed Executive Order 9066 forcing over 120,000 West Coast persons of Japanese ancestry (Nikkei) to leave their homes, jobs, and lives behind and move to one of ten prison camps spread across the nation all because of their ethnicity.  This is Minidoka's story. ","Jerome, ID,WA"
Mount Rainier,National Park," Ascending to 14,410 feet above sea level, Mount Rainier stands as an icon in the Washington landscape. An active volcano, Mount Rainier is the most glaciated peak in the contiguous U.S.A., spawning five major rivers. Subalpine wildflower meadows ring the icy volcano while ancient forest cloaks Mount Rainier’s lower slopes. Wildlife abounds in the park’s ecosystems. A lifetime of discovery awaits. ","Ashford, Enumclaw, Packwood, Wilkeson, WA"
Nez Perce,National Historical Park," For thousands of years the valleys, prairies, mountains, and plateaus of the inland northwest have been home to the nimí·pu· (Nez Perce) people. Extremely resilient, they have adapted and survived the settling of the United States. Explore these places. Learn their stories. ","four states ID,MT,OR,WA"
North Cascades,National Park," Less than three hours from Seattle, an alpine landscape beckons. Discover communities of life adapted to moisture in the west and recurring fire in the east. Explore jagged peaks crowned by more than 300 glaciers. Listen to cascading waters in forested valleys. Witness a landscape sensitive to the Earth's changing climate. Help steward the ecological heart of the Cascades. ","Marblemount, WA"
Olympic,National Park," With its incredible range of precipitation and elevation, diversity is the hallmark of Olympic National Park. Encompassing nearly a million acres, the park protects a vast wilderness, thousands of years of human history, and several distinctly different ecosystems, including glacier-capped mountains, old-growth temperate rain forests, and over 70 miles of wild coastline. Come explore! ","Port Angeles, WA"
Oregon,National Historic Trail," Imagine yourself an emigrant headed for Oregon: would promises of lush farmlands and a new beginning lure you to leave home and walk for weeks? More than 2,000 miles of trail ruts and traces can still be seen along the Oregon National Historic Trail in six states and serve as reminders of the sacrifices, struggles, and triumphs of early American settlers. ","Various States ID,KS,MO,NE,OR,WA,WY"
San Juan Island,National Historical Park," San Juan Island is well known for splendid vistas, saltwater shore, quiet woodlands, orca whales and one of the last remaining native prairies in the Puget Sound/Northern Straits region. But it was also here in 1859 that the United States and Great Britain nearly went to war over possession of the island, the crisis ignited by the death of a pig. ","Friday Harbor, WA"
Whitman Mission,National Historic Site," The 1847 attack on the Whitmans horrified Americans and impacted the lives of the peoples of the Columbia Plateau for decades afterwards. Was killing the Whitmans justified legal retribution, an act of revenge, or some combination of both? The circumstances that surround this tragic event resonate with modern issues of cultural interaction and differing perspectives. ","Walla Walla, WA"
Wing Luke Museum,Affiliated Area," More than a museum, the Wing is an experience. A chance to truly understand what it was - and is - to be Asian American in the Pacific Northwest. Take a guided tour of a historic hotel and learn the inside story about what makes the local Chinatown-International District unique. Visitors explore thought-provoking exhibitions of real stories, including actor and martial arts master Bruce Lee. ","Seattle, WA"
Appalachian,National Scenic Trail," The Appalachian Trail is a 2,180+ mile long public footpath that traverses the scenic, wooded, pastoral, wild, and culturally resonant lands of the Appalachian Mountains. Conceived in 1921, built by private citizens, and completed in 1937, today the trail is managed by the National Park Service, US Forest Service, Appalachian Trail Conservancy, numerous state agencies and thousands of volunteers. ","Maine to Georgia, CT,GA,MA,MD,ME,NC,NH,NJ,NY,PA,TN,VA,VT,WV"
Bluestone,National Scenic River, The Bluestone River and the rugged and ancient gorge it has carved is a richly diverse and scenic area of the southern Appalachians. Bluestone National Scenic River is preserved as a living landscape that provides an unspoiled experience for visitors and a haven for a variety of plants and animals. The park protects a 10.5-mile section of the Bluestone River in southern West Virginia. ,"Athens, Pipestem, and Hinton, WV"
Chesapeake & Ohio Canal,National Historical Park," Preserving America's early transportation history, the C&O Canal began as a dream of passage to Western wealth. Operating for nearly 100 years the canal was a lifeline for communities along the Potomac River as coal, lumber, and agricultural products floated down the waterway to market. Today it endures as a pathway for discovering historical, natural, and recreational treasures. ","Potomac River, DC,MD,WV"
Chesapeake Bay,Not Available," NPS helps you learn about and enjoy the Chesapeake Bay, the largest estuary in North America. Here, you can visit major league cities, colonial towns, American Indian landscapes, farms and fishing villages. You can learn to kayak, pick crabs, go fishing, tour a lighthouse, slurp oysters, and slow down to enjoy the natural beauty of the Chesapeake. ","Chesapeake Bay Watershed, DC,DE,MD,NY,PA,VA,WV"
Coal,National Heritage Area," The 5300 square mile National Coal Heritage Area lies in southern West Virginia, a region shaped by the history of coal deposits found in its ancient mountains. Today, the area’s communities retain much of their original character as “company towns,” reflecting local traditions, immigrant laborers and the dominance of the coal industry. ",WV
Gauley River,National Recreation Area," The 25 miles of free-flowing Gauley River and the six miles of the Meadow River pass through scenic gorges and valleys containing a wide variety of natural and cultural features. The Gauley River contains several class V+ rapids, making it one of the most adventurous white water boating rivers in the east. ","Summersville, WV"
Harpers Ferry,National Historical Park," A visit to this quaint, historic community, at the confluence of the Potomac and Shenandoah rivers, is like stepping into the past.  Stroll the picturesque streets, visit exhibits and museums, or hike our trails and battlefields. Spend a day or a weekend.  We have something for everyone, so come and discover Harpers Ferry! ","Harpers Ferry, WV,VA,MD"
New River Gorge,National River," A rugged, whitewater river flowing northward through deep canyons, the New River is among the oldest rivers on the continent. The park encompasses over 70,000 acres of land along the New River, is rich in cultural and natural history, and offers an abundance of scenic and recreational opportunities. ","Hinton, Beckley, Glen Jean, and Fayetteville, WV"
